PERMX	PERMY	PERMZ	Dates	Qoil(m3\day)	Qoil(t\day)	Qliq(m3\day)	Qcum_oil(m3)	Qcum_oil(t)	Qcum_wat
10	30	2	43922.00	324.380491	278.967222	460.948602	38548.30928	33151.54598	52400.7666
10	30	2	43952.00	294.711329	253.451743	427.017763	47389.64914	40755.09826	65211.29947
10	30	2	43983.00	277.990787	239.072076	407.640473	56007.36354	48166.33264	77848.15411
10	30	2	44013.00	268.266823	230.709468	396.150426	64055.36823	55087.61668	89732.66691
10	30	2	44044.00	263.451341	226.568154	389.942163	72222.35983	62111.22945	101820.874
10	30	2	44075.00	260.994258	224.455062	386.310577	80313.18181	69069.33636	113796.5019
10	30	2	44105.00	259.790906	223.420178	384.100445	88106.90898	75771.94172	125319.5152
10	30	2	44136.00	259.011906	222.750239	382.374739	96136.27808	82677.19915	137173.1321
10	30	2	44166.00	258.359333	222.189027	380.861925	103887.0581	89342.86995	148598.9899
10	30	2	44197.00	257.539676	221.484121	379.192964	111870.788	96208.87771	160353.9717
10	30	2	44228.00	256.469626	220.563878	377.304806	119821.3464	103046.3579	172050.4207
10	30	2	44256.00	255.28658	219.54646	375.405081	126969.3707	109193.6588	182561.7629
10	30	2	44287.00	253.743228	218.219176	373.094861	134835.4107	115958.4532	194127.7036
10	30	2	44317.00	252.079916	216.788727	370.718111	142397.8082	122462.1151	205249.247
10	30	2	44348.00	250.234192	215.201405	368.164668	150155.0682	129133.3586	216662.3517
10	30	2	44378.00	248.376567	213.603848	365.657045	157606.3652	135541.4741	227632.063
10	30	2	44409.00	246.422542	211.923386	363.05411	165245.464	142111.099	238886.7404
10	30	2	44440.00	244.472207	210.246098	360.476618	172824.1024	148628.7281	250061.5156
10	30	2	44470.00	242.613456	208.647572	358.038491	180102.5061	154888.1552	260802.6703
10	30	2	44501.00	240.742459	207.038515	355.590943	187565.5223	161306.3492	271825.9896
10	30	2	44531.00	238.990021	205.531418	353.297653	194735.2229	167472.2917	282424.9192
10	30	2	44562.00	237.253914	204.038367	351.020935	202090.0943	173797.4811	293306.5682
10	30	2	44593.00	235.587107	202.604912	348.830301	209393.2946	180078.2334	304120.3075
10	30	2	44621.00	234.137378	201.358145	346.921034	215949.1412	185716.2614	313834.0964
10	30	2	44652.00	232.592773	200.029784	344.882057	223159.5171	191917.1847	324525.4402
10	30	2	44682.00	231.151784	198.790534	342.975311	230094.0707	197880.9008	334814.6995
10	30	2	44713.00	229.716554	197.556235	341.071406	237215.2838	204005.1441	345387.9131
10	30	2	44743.00	228.375569	196.40299	339.287894	244066.5509	209897.2338	355566.5499
10	30	2	44774.00	227.038694	195.253277	337.504771	251104.7504	215950.0854	366029.1978
10	30	2	44805.00	225.749119	194.144242	335.779085	258102.9731	221968.5569	376438.3494
10	30	2	44835.00	224.544002	193.107841	334.160715	264839.2932	227761.7921	386463.1709
10	30	2	44866.00	223.341836	192.073979	332.540977	271762.8901	233716.0855	396771.9412
10	30	2	44896.00	222.219289	191.108589	331.022773	278429.4688	239449.3431	406702.6244
10	30	2	44927.00	221.094002	190.140841	329.49701	285283.3828	245343.7092	416917.0317
10	30	2	44958.00	220.001302	189.20112	328.012002	292103.4232	251208.9439	427085.4037
10	30	2	44986.00	219.040136	188.374517	326.703282	298236.547	256483.4304	436233.0956
10	30	2	45017.00	218.005664	187.484872	325.291381	304994.7226	262295.4614	446317.1284
10	30	2	45047.00	217.031005	186.646665	323.958053	311505.6527	267894.8614	456035.87
10	30	2	45078.00	216.050795	185.803685	322.614009	318203.2274	273654.7756	466036.9043
10	30	2	45108.00	215.126605	185.00888	321.343887	324657.0255	279205.042	475677.2209
10	30	2	45139.00	214.198048	184.210321	320.064299	331297.165	284915.5619	485599.2141
10	30	2	45170.00	213.294188	183.433003	318.815389	337909.2849	290601.985	495482.4912
10	30	2	45200.00	212.441086	182.699333	317.633751	344282.5174	296082.965	505011.5037
10	30	2	45231.00	211.581118	181.959761	316.439882	350841.5321	301723.7176	514821.1401
10	30	2	45261.00	210.76911	181.261435	315.309852	357164.6054	307161.5606	524280.4357
10	30	2	45292.00	209.951473	180.558267	314.168675	363673.101	312758.8669	534019.6646
10	30	2	45323.00	209.153044	179.871618	313.051642	370156.8454	318334.8871	543724.2655
10	30	2	45352.00	208.423832	179.244495	312.028638	376201.1365	323532.9774	552773.096
10	30	2	45383.00	207.661786	178.589135	310.957225	382638.6519	329069.2406	562412.7699
10	30	2	45413.00	206.938604	177.967199	309.938992	388846.81	334408.2566	571710.9397
10	30	2	45444.00	206.206687	177.337751	308.906502	395239.2173	339905.7269	581287.0412
10	30	2	45474.00	205.512207	176.740498	307.925197	401404.5836	345207.9419	590524.7972
10	30	2	45505.00	204.809363	176.136052	306.930252	407753.6738	350668.1595	600039.635
10	30	2	45536.00	204.121192	175.544224	305.954171	414081.4308	356110.0305	609524.2143
10	30	2	45566.00	203.468011	174.98249	305.026284	420185.4711	361359.5052	618675.0028
10	30	2	45597.00	202.8058	174.412988	304.084172	426472.4509	366766.3078	628101.6121
10	30	2	45627.00	202.176726	173.871984	303.187956	432537.7527	371982.4673	637197.2508
10	30	2	45658.00	201.538655	173.323243	302.27765	438785.451	377355.4879	646567.8579
11	29	5	43862.00	496.435072	426.934162	662.909143	17837.44597	15340.20354	23415.58902
11	29	5	43891.00	382.611124	329.045568	532.706493	28933.16859	24882.52499	38864.07731
11	29	5	43922.00	325.505507	279.934735	467.352934	39023.8393	33560.5018	53352.01824
11	29	5	43952.00	296.260821	254.784307	433.74451	47911.66395	41204.031	66364.35356
11	29	5	43983.00	279.19756	240.109902	413.937666	56566.78831	48647.43795	79196.42121
11	29	5	44013.00	270.989121	233.050644	403.897884	64696.46194	55638.95727	91313.35774
